Unnamed: 0,name
0,Abraham Lincoln
1,Rosa Parks
2,George Washington
3,Martin Luther King Jr.
4,Albert Einstein
5,Benjamin Franklin
6,Thomas Jefferson
7,Franklin Delano Roosevelt
8,Frederick Douglass
9,Harriet Tubman
10,Thomas Alva Edison
11,Susan B. Anthony
12,John Muir
13,Eleanor Roosevelt
14,Cesar Chavez
15,Booker T. Washington
16,Henry David Thoreau
17,Noam Chomsky
18,Theodore Roosevelt
19,Josiah Willard Gibbs
20,Rachel Carson
21,Jackie Robinson
22,Bill Gates
23,Harvey Milk
24,Henry Ford
25,John Marshall
26,John Fitzgerald Kennedy
27,Robert Kennedy
28,Thurgood Marshall
29,Samuel Clemens (Mark Twain)
30,James Watson
31,Jonas Salk
32,Gloria Steinem
33,Maya Angelou
34,Ralph Waldo Emerson
35,James Madison
36,Upton Sinclair
37,Elizabeth Cady Stanton
38,Malcolm X
39,Woodrow Wilson
40,Andrew Jackson
41,Greg Mortenson
43,Andrew Carnegie
44,Barack Obama
45,Ida B. Wells
46,J. Robert Oppenheimer
47,Walt Disney
48,Helen Keller
49,Harvey Cushing
50,Alexander Hamilton
51,George Marshall
52,Ted Kennedy
53,The Wright brothers
54,Dwight D. Eisenhower
55,Jesse Owens
56,Duke Ellington
57,William Faulkner
58,Nikola Tesla
59,John Steinbeck
60,Paul Farmer
61,Miles Davis
62,Jim Henson
63,Alfred Kinsey
64,Louis Armstrong
65,Amelia Earhart
66,Ayn Rand
67,Frank Lloyd Wright
68,Ulysses S. Grant
69,F. Scott Fitzgerald
70,The Tuskegee airmen
71,Paul Newman
72,Elvis Presley
73,Edward R. Murrow
74,Sandra Day O'Connor
75,Jimmy Carter
76,Edgar Allen Poe
77,Theodore Geisel (Dr. Seuss)
78,Oprah Winfrey
79,Jimi Hendrix
80,Alexander G. Bell
81,Langston Hughes
82,Steve Jobs
83,Al Gore
84,Orson Welles
85,Jonothan Kozol
86,William Boeing
87,Angela Davis
88,John D. Rockefeller
89,Hillary Clinton
90,Frank Capra
91,Norman Rockwell
92,Audre Lorde
93,Herman Melville
94,Howard Zinn
95,Ansel Adams
96,Crazy Horse
97,Ruby Bridges
98,Steven Spielberg
99,Christopher Columbus
100,Henry Hudson
101,Amerigo Vespucci
102,John Smith
103,Giovanni da Verrazzano
104,Meriwether Lewis and William Clark
105,Sacagawea
106,Kit Carson
107,Neil Armstrong
108,John Wesley Powell
109,Robert E. Lee
110,Thomas Paine
111,John Brown
112,W.E.B. Du Bois
113,Tecumseh
114,Sitting Bull
115,Ronald W. Reagan
116,George W. Bush
117,Pocahontas
118,Sarah Palin
119,Martha Washington
120,Sojourner Truth
121,Jane Addams
122,Edith Wharton
123,Bette Davis
124,Benedict Arnold
125,Jesse James
126,John Wilkes Booth
127,Al Capone
128,Billy the Kid
129,William M. “Boss” Tweed
130,Charles Manson
131,Wild Bill Hickok
132,Lee Harvey Oswald
133,John Dillinger
134,Lucky Luciano
135,Andy Warhol
136,Frederick Law Olmsted
137,James Abbott MacNeill Whistler
138,Jackson Pollock
139,John James Audubon
140,Georgia O'Keeffe
141,Thomas Eakins
142,Thomas Nast
143,Alfred Stieglitz
144,Joseph Smith Jr.
145,William Penn
146,Brigham Young
147,Roger Williams
148,Anne Hutchinson
149,Jonathan Edwards
150,L. Ron Hubbard
151,Ellen G. White
152,Cotton Mather
153,Mary Baker Eddy
154,Billy Graham
155,Madonna
156,Bob Dylan
157,Michael Jackson
158,Charlie Chaplin
159,Marilyn Monroe
160,Frank Sinatra
161,Mary Pickford
162,J.P. Morgan
163,William Randolph Hearst
164,Howard Hughes
165,Cornelius Vanderbilt
166,Babe Ruth
167,Muhammad Ali
168,James Naismith
169,Arnold Schwarzenegger
170,Ty Cobb
171,Michael Jordan
172,Hulk Hogan
173,Jim Thorpe
174,Secretariat
175,Billie Jean King
